32 1000
15 17 295584
13 14 1442093
3 8 1093600
17 18 133770
18 22 299582
5 12 1075865
11 21 892985
17 18 562655
14 20 1993199
20 21 264856
12 19 546734
16 18 708495
9 12 1523149
24 32 1655842
25 30 406900
3 10 1642430
17 18 1594502
2 9 1755728
10 12 808076
10 20 966200
13 17 232507
21 31 452865
3 6 882384
24 26 537035
19 20 1484553
25 27 793957
20 28 895843
14 22 239879
11 13 601308
22 27 404907
8 18 1093911
11 18 963902
17 25 1456973
2 9 1666723
9 13 1726922
2 5 1937150
13 23 1373272
25 30 928273
1 10 1164807
10 17 76072
15 24 1926925
3 6 1264099
16 25 796088
8 18 46041
4 7 669799
27 31 1074261
26 32 901857
18 26 1747088
3 11 1365683
19 20 565716
20 27 313386
19 26 841201
9 12 602025
20 26 478242
21 28 1006887
3 10 1672513
17 24 1269075
2 5 692417
26 30 182416
17 18 340380
25 32 1571215
2 8 968831
14 23 1497132
22 28 613088
1 5 1983425
15 19 1335061
10 11 605148
1 2 1166956
10 11 1948758
12 19 115360
17 23 1742834
11 18 758105
24 26 425271
17 26 1540421
26 32 149594
25 30 922589
17 26 933666
25 32 1084681
13 15 1122722
13 20 413471
14 17 1522644
11 18 763626
21 26 977617
27 29 766642
21 22 608942
23 32 1511404
8 14 1146541
21 26 783427
8 18 1114478
23 27 322110
2 12 746701
23 26 1959465
6 7 929235
19 20 1153140
2 10 1244269
11 17 1186046
4 13 313531
20 27 1231872
3 13 1108023
18 26 1890743
23 32 1695391
6 13 264801
5 14 357077
18 24 397490
6 12 1926459
23 32 1093579
12 14 821438
16 25 43702
6 16 1845049
21 27 1348201
19 23 966630
15 21 222978
19 27 1880870
24 28 917924
2 8 100780
1 6 38379
16 25 242125
27 32 1858559
27 32 1671106
25 29 794244
17 18 1550082
3 10 685321
6 9 159425
4 6 901628
16 19 65070
18 21 894019
18 26 574520
22 30 1420104
20 28 662640
15 22 1410153
26 29 1553386
20 24 787728
2 8 1377981
4 11 1681221
16 19 94938
17 27 545590
2 8 126756
10 14 1659874
2 3 1188645
11 17 558118
3 9 1116493
24 27 1830400
8 12 922816
26 31 274610
22 23 803705
23 30 610882
4 12 1734517
6 7 416737
1 3 516098
17 23 1703707
25 32 773807
13 19 1276479
10 19 1897043
23 31 794923
26 32 871747
10 15 192585
19 25 1651456
15 23 1822879
21 29 126957
1 5 1226332
24 27 531155
7 14 1594812
24 25 1205030
23 32 739791
7 16 1880314
18 21 721537
21 30 1809050
16 21 1269609
14 16 763087
16 18 1478128
5 6 1972850
12 15 1363747
7 9 1481216
23 32 1248074
6 8 938929
4 13 1357486
14 21 1114627
12 14 1944868
2 9 264945
12 15 590956
5 10 626609
5 14 1145709
23 24 1424735
16 26 1360729
6 8 1748614
19 22 1460135
10 18 687879
25 28 1083300
24 27 469276
1 8 972764
9 18 1820094
17 18 1542422
6 15 1734559
25 30 1601535
16 23 1883140
13 16 459686
6 13 52712
15 21 471265
3 8 984956
9 14 356870
22 30 65133
20 24 82598
13 19 1773008
10 15 617580
4 5 1864388
3 9 452359
9 17 1738979
10 13 838876
16 20 1696915
2 9 578043
7 12 73215
8 10 809039
9 16 1931224
6 16 864503
15 16 969606
13 15 1995145
19 25 1401256
15 24 1875817
27 32 502127
23 28 1749463
3 11 590588
4 5 845595
15 19 56906
14 20 1959081
26 27 153654
12 18 523764
12 15 1529096
4 12 1222363
2 10 74828
9 15 1071448
6 13 569090
14 22 632889
25 29 1345442
26 32 479755
25 32 653408
27 30 1730789
7 14 164255
1 9 1692786
18 27 1155256
19 21 248580
6 10 1550801
14 23 1135134
22 30 1810617
13 20 1508473
20 26 1093204
2 8 1534416
25 32 827254
27 32 372973
23 28 47391
12 14 352632
15 19 1038160
9 18 694563
24 31 167435
22 24 1513682
15 24 692384
3 12 1857196
24 32 1531880
8 16 1245533
13 20 220516
13 14 531659
18 24 1250407
5 15 945851
15 23 250880
17 23 510936
10 12 205772
20 23 1988796
18 19 1590796
11 15 1176026
1 9 437272
4 7 529789
11 21 1702157
1 2 1505175
14 21 1073978
17 20 219183
24 30 449261
27 31 857417
27 32 978064
21 25 1638457
10 14 1211568
16 22 1744788
23 32 1590748
19 29 1787608
13 18 1029930
27 28 1485150
3 13 666948
9 19 1267708
21 31 1144627
7 14 1829582
2 3 568108
18 25 1580718
15 20 1399073
9 11 1273577
7 14 150082
20 27 279467
14 22 172669
23 24 35458
13 21 1856630
1 2 1226979
26 27 1322532
6 14 580561
1 4 1530855
20 27 1875569
10 19 1119878
12 18 337760
16 17 1748397
18 27 1801050
19 23 1353136
17 21 1382718
6 9 1528252
24 30 1001306
5 11 1546667
25 28 755084
24 30 414164
12 22 1553837
16 22 1659251
13 16 1397356
10 19 35858
2 7 719383
20 27 1277515
14 20 278359
27 32 1302634
21 28 1749412
5 10 892269
10 20 881285
4 10 1995929
27 32 408868
18 22 155559
19 23 1092633
2 4 447067
19 26 1541393
23 30 956172
13 17 222259
10 16 1215221
22 32 1054937
7 8 79165
7 8 36302
12 19 727398
14 18 1505589
2 6 1753592
8 9 999659
2 11 245095
15 19 1036567
18 25 129160
7 12 1937036
21 29 14033
23 32 19401
23 27 1350495
6 15 43172
26 32 816816
23 26 948940
9 12 717905
13 22 1426342
27 32 823665
1 9 1802142
1 6 1243055
1 4 1142335
1 3 1908848
19 23 1698153
20 23 1602883
4 6 70102
17 22 641204
26 32 272361
19 28 1185831
3 12 596835
27 32 1560308
17 26 155416
5 15 418459
4 11 1076834
27 31 1636130
22 27 1849938
23 24 717916
4 14 485158
8 15 188230
24 32 1956294
5 13 1726383
26 30 1512532
1 7 1334140
7 14 541701
21 28 1178387
16 20 61013
14 17 138518
24 28 128807
4 11 1458222
6 11 950428
6 13 407565
2 8 1072688
22 29 88133
13 22 1362747
21 28 594684
9 11 1386824
10 18 1809271
12 18 503226
14 21 1741052
7 17 708577
19 20 2637
25 27 1183538
12 22 406697
14 19 90570
5 7 1311993
13 18 1707095
5 14 1125814
2 5 286065
9 17 1673005
5 6 1474864
15 23 1647936
15 22 1918602
4 5 1799396
10 16 624456
11 19 935482
1 3 1910861
25 29 1611606
13 17 176232
17 24 1733549
12 21 1741777
5 10 1151343
27 32 369812
26 27 469870
24 29 1539652
5 14 941903
18 27 1271306
16 24 1914686
11 13 681312
13 21 74411
10 13 1835034
6 10 671757
22 26 587217
27 31 764951
6 8 1611656
27 31 1217902
13 23 895680
3 9 352087
2 12 712936
11 16 264292
12 20 679159
10 11 1432402
19 27 171955
27 32 816420
10 20 1165193
5 15 1842729
21 26 1784510
6 12 901396
11 17 804993
21 31 1671532
24 28 1234562
7 15 1235859
26 31 826765
1 5 377092
12 20 356709
1 10 305268
26 32 1164671
23 32 206225
8 11 1344614
19 20 1261150
14 24 30245
4 6 1486930
21 22 302963
5 7 1065559
10 16 539670
15 21 336949
19 24 1675300
8 12 1450401
11 17 14339
2 5 80050
19 27 1911825
19 29 188825
12 19 343449
16 25 547653
4 7 1617855
11 19 719249
16 21 1694563
11 18 328307
4 5 1521876
4 6 80263
5 13 1675000
4 9 1540647
6 16 913063
11 16 619012
18 25 1035586
13 23 519493
23 29 1375999
19 29 769776
23 24 907048
17 19 1132427
18 22 707065
13 18 1661204
7 14 1481776
20 21 471742
1 9 1696661
15 18 1696203
22 23 807316
14 22 705299
24 30 840554
9 11 1227418
24 32 1945939
7 10 907944
2 8 302255
22 25 472321
2 5 1965795
25 32 400530
21 27 495776
4 5 1946096
14 24 1079797
25 28 1418753
15 17 1043227
14 18 1628219
26 31 714374
4 7 1214756
10 14 1748376
9 12 1350820
15 25 541580
22 24 696656
21 28 585823
8 14 1116129
1 2 1420001
15 21 204502
10 16 1130837
19 26 1680782
9 19 326077
5 9 763383
24 32 688902
4 11 909949
13 17 131824
21 28 1195080
9 16 1327134
1 4 473926
4 10 1543398
19 22 837805
15 21 829468
19 27 1484181
3 9 1202473
12 19 480120
24 26 1263218
26 32 631564
15 18 3909
6 9 423480
13 18 1518495
6 8 3328
18 25 1092735
2 6 535091
22 27 1681214
11 20 1072686
18 26 1406161
8 16 1267462
16 19 1772719
16 21 341930
22 32 1179598
16 18 1416559
16 24 733594
3 12 1456778
11 18 349495
6 7 100645
21 28 1620177
13 23 1039914
3 9 1554937
27 28 492379
4 13 326166
20 25 599695
12 13 150771
22 24 1808863
15 20 1058149
20 28 1101104
21 26 417846
16 26 271592
3 13 1293908
24 32 1488701
4 6 1279452
8 17 184655
16 19 207639
18 19 441137
16 23 1420241
3 7 826163
18 20 1731589
23 30 1542680
27 32 1526896
18 25 1456957
11 19 1674792
1 2 1359997
3 10 1929133
6 9 115790
12 21 1376748
4 14 61501
15 21 270693
12 16 1624499
6 10 1162834
26 27 440634
19 23 1950278
15 20 17930
6 12 1243285
5 13 1777113
7 9 1428277
25 28 1254924
26 32 358160
3 6 1155828
25 30 1919522
13 18 1943147
19 20 715406
18 25 1515748
19 28 528829
9 19 1962286
6 8 257257
25 27 833981
15 16 518621
20 22 1042766
8 9 1949096
7 12 764506
6 8 945953
16 25 168228
9 15 1791327
17 26 1744384
16 17 143187
20 30 364485
4 9 469778
11 13 729759
25 30 768926
24 31 1750113
8 17 113955
20 25 1810727
23 31 858360
20 24 500138
16 26 513175
18 25 325745
23 31 1192774
2 4 1472420
12 13 320511
23 32 1656570
19 22 1423742
21 31 337433
18 26 1913391
3 8 680444
10 11 600878
17 25 1931950
21 27 1507640
10 17 1846567
3 4 1991499
7 16 1891530
3 9 311165
22 26 196358
26 32 1715334
25 26 659421
7 12 773002
16 17 199265
15 23 1302694
8 10 553066
6 9 680141
6 11 452843
4 10 1621287
9 13 299426
11 15 297987
7 10 475328
16 21 1331589
27 28 1379942
2 8 946133
20 29 1222934
27 28 1682765
10 13 646137
16 20 1769620
11 18 476953
15 16 1105571
19 23 1568863
25 32 547273
16 25 641678
8 18 1784029
20 27 1481964
10 17 1582049
6 7 75785
14 20 854700
11 21 229959
18 23 397919
6 8 1073914
27 28 917363
7 14 701270
16 26 624898
13 20 1990941
6 7 1352463
