25 400
3 8 960428
18 21 1429717
17 21 1663910
1 6 88131
6 15 1780430
2 12 493677
13 17 757380
9 17 323021
1 11 32870
15 19 67653
20 25 884150
9 13 1346258
3 5 4929
20 23 932691
1 7 687902
19 25 516002
4 7 1132761
11 18 534356
15 22 507276
15 20 1284073
16 20 288370
4 13 998181
18 25 1389081
18 25 1841416
7 17 849969
14 23 28467
19 20 504588
11 17 1787866
16 19 1151645
1 11 1987202
14 22 729930
17 25 340258
7 16 247901
1 8 116769
19 20 34992
8 15 1783001
8 15 1854471
13 15 1006782
11 21 1562954
2 12 1555858
2 9 1053146
9 14 938967
13 21 559580
15 23 1919912
16 23 1952652
17 18 1345704
15 19 615069
13 23 893508
3 9 715375
19 25 587947
14 21 1795296
5 7 625793
14 22 77618
20 25 1539850
19 22 853906
19 20 869754
12 20 1615860
18 23 1596810
7 13 600471
14 19 1778486
20 22 1118057
18 23 1349113
4 5 811913
5 6 1754356
1 2 293211
9 19 463470
18 23 48133
14 18 901671
10 18 30866
16 21 998669
14 19 1360940
5 8 170823
18 23 367284
7 15 509904
4 12 518593
7 9 346003
12 13 1337838
12 20 109167
1 3 1553498
2 12 386203
11 18 1195231
5 14 1775876
7 15 753932
10 11 207014
16 19 1674974
1 7 11717
4 6 86996
18 25 1516670
19 25 1897551
14 22 1830107
18 22 1092826
10 16 803763
8 17 312032
15 19 429544
17 19 910656
14 16 48576
14 18 306775
15 18 1733385
10 12 1230076
9 18 827713
8 15 1524967
19 21 682775
7 13 471961
10 13 1259807
14 16 1556218
3 11 1879785
4 9 576511
7 10 984234
4 12 1212120
16 18 813667
5 11 175077
20 25 491582
7 15 1539055
11 13 71430
4 13 295719
20 25 1886896
18 20 856677
4 9 1292058
14 21 709708
6 10 1007177
14 20 14573
16 22 824722
1 10 241385
16 21 576594
